A,A_over_R,B,B_over_R,E,F,F_and_A,F_and_A_over_F,F_and_B,F_and_B_minus_A,F_and_B_over_F,F_fully_applied,F_fully_applied_and_A,F_fully_applied_and_B,F_not_B,R,copy_only_gain,copy_only_percentage_points_on_R,copy_relative_gain_over_A,family,input_profile,population,pre_post_both_checkable,source_records,split,still_unexpressible,validator_profile,vocabulary_profile
16482,0.5494,17127,0.5709,2531,2492,2021,0.8109951845906902,2076,55,0.8330658105939005,2491,2020,2075,416,30000,645,2.15,0.03913360029122679,itemRequiresStatement,factorized,parent_pool,7789,30000,val,12873,checked_out_bounded,existing_train_val_minocc100
2028,0.9859017987360233,2042,0.9927078269324259,2057,2057,2028,0.9859017987360233,2042,14,0.9927078269324259,1970,1941,1955,15,2057,14,0.6806028196402528,0.006903353057199211,oneOf,factorized,parent_pool,2057,2057,val,15,checked_out_bounded,existing_train_val_minocc100
31317,0.8719269426733859,31529,0.8778294400980037,32972,19983,19863,0.9939948956613122,19977,114,0.9996997447830656,19763,19650,19763,6,35917,212,0.5902497424617869,0.006769486221541016,single,factorized,parent_pool,35917,35917,val,4388,checked_out_bounded,existing_train_val_minocc100
8853,0.9853088480801335,8876,0.9878686700055648,8982,8982,8851,0.9854152749944333,8874,23,0.9879759519038076,8967,8836,8859,108,8985,23,0.25598219254312743,0.0025979893821303514,symmetric,factorized,parent_pool,8985,8985,val,109,checked_out_bounded,existing_train_val_minocc100
28662,0.9554,28743,0.9581,646,264,264,1.0,264,0,1.0,246,246,246,0,30000,81,0.27,0.002826041448607913,type,factorized,parent_pool,4469,30000,val,1257,checked_out_bounded,existing_train_val_minocc100
24991,0.8330333333333333,25211,0.8403666666666667,3627,3627,2754,0.7593052109181141,2913,159,0.8031430934656741,3615,2742,2901,714,30000,220,0.7333333333333333,0.00880316914089072,valueRequiresStatement,factorized,parent_pool,17357,30000,val,4789,checked_out_bounded,existing_train_val_minocc100
28807,0.9602333333333334,28941,0.9647,8582,590,589,0.9983050847457627,590,1,1.0,581,580,581,0,30000,134,0.44666666666666666,0.0046516471690908456,valueType,factorized,parent_pool,10691,30000,val,1059,checked_out_bounded,existing_train_val_minocc100
1710505,0.8951802235091799,1719857,0.9000745239936906,1189131,643000,625695,0.9730870917573873,628320,2625,0.9771695178849145,625732,608477,611100,14680,1910794,9352,0.48943004845106275,0.0054673912090289125,overall,passive,parent_pool,1378201,1910794,overall,190937,checked_out_bounded,clean_parent_train_minocc100
256417,0.8946235433675249,257852,0.899630172353639,178221,96373,93830,0.9736129413839976,94214,384,0.9775974598694656,93704,91188,91572,2159,286620,1435,0.5006628986114019,0.005596352815920942,overall,passive,parent_pool,206699,286620,test,28768,checked_out_bounded,clean_parent_train_minocc100
1197671,0.8954181323384833,1204142,0.9002560642366109,832506,450157,438027,0.9730538456582926,439847,1820,0.9770968795331406,438157,426032,427851,10310,1337555,6471,0.4837931898127554,0.005402986295902631,overall,passive,parent_pool,964874,1337555,train,133413,checked_out_bounded,clean_parent_train_minocc100
256417,0.894626664666334,257863,0.8996716895948977,178404,96470,93838,0.9727169068104073,94259,421,0.9770809578107184,93871,91257,91677,2211,286619,1446,0.5045024928563703,0.005639251687680614,overall,passive,parent_pool,206628,286619,val,28756,checked_out_bounded,clean_parent_train_minocc100
189271,0.9405938625916263,189698,0.942715865324885,197201,110847,110841,0.9999458713361661,110841,0,0.9999458713361661,97934,97934,97934,6,201225,427,0.21220027332587899,0.002256024430578377,conflictWith,passive,parent_pool,199195,201225,overall,11527,checked_out_bounded,clean_parent_train_minocc100
443201,0.9710610439320873,443222,0.9711070552947028,456316,264436,260915,0.9866848689285876,260921,6,0.9867075587287661,263182,259661,259667,3515,456409,21,0.004601136261554877,4.738256457002579e-05,distinct,passive,parent_pool,456363,456409,overall,13187,checked_out_bounded,clean_parent_train_minocc100
