E,R,count,family,fixed_pre_violated_fraction,population,post,pre,row_fraction,split,validator_profile
24271,200001,0,valueRequiresStatement,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
24271,200001,24271,valueRequiresStatement,1.0,parent_pool,satisfied,violated,0.12135439322803386,overall,checked_out_bounded
24271,200001,0,valueRequiresStatement,0.0,parent_pool,violated,violated,0.0,overall,checked_out_bounded
24271,200001,0,valueRequiresStatement,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
24271,200001,3621,valueRequiresStatement,,parent_pool,satisfied,unknown,0.018104909475452624,overall,checked_out_bounded
24271,200001,0,valueRequiresStatement,,parent_pool,violated,unknown,0.0,overall,checked_out_bounded
24271,200001,79509,valueRequiresStatement,,parent_pool,unknown,unknown,0.3975430122849386,overall,checked_out_bounded
56926,200001,13911,valueType,,parent_pool,satisfied,satisfied,0.06955465222673887,overall,checked_out_bounded
56926,200001,0,valueType,,parent_pool,violated,satisfied,0.0,overall,checked_out_bounded
56926,200001,0,valueType,,parent_pool,unknown,satisfied,0.0,overall,checked_out_bounded
56926,200001,3886,valueType,0.06826406211572919,parent_pool,satisfied,violated,0.019429902850485747,overall,checked_out_bounded
56926,200001,53040,valueType,0.9317359378842708,parent_pool,violated,violated,0.26519867400662994,overall,checked_out_bounded
56926,200001,0,valueType,0.0,parent_pool,unknown,violated,0.0,overall,checked_out_bounded
56926,200001,1058,valueType,,parent_pool,satisfied,unknown,0.0052899735501322495,overall,checked_out_bounded
56926,200001,193,valueType,,parent_pool,violated,unknown,0.0009649951750241249,overall,checked_out_bounded
56926,200001,127913,valueType,,parent_pool,unknown,unknown,0.639561802190989,overall,checked_out_bounded
29600,30184,272,conflictWith,,parent_pool,satisfied,satisfied,0.009011396766498807,test,checked_out_bounded
29600,30184,13,conflictWith,,parent_pool,violated,satisfied,0.00043069175722236947,test,checked_out_bounded
29600,30184,0,conflictWith,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
29600,30184,16797,conflictWith,0.5674662162162162,parent_pool,satisfied,violated,0.5564868804664723,test,checked_out_bounded
29600,30184,12803,conflictWith,0.43253378378378377,parent_pool,violated,violated,0.42416512059369205,test,checked_out_bounded
29600,30184,0,conflictWith,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
29600,30184,0,conflictWith,,parent_pool,satisfied,unknown,0.0,test,checked_out_bounded
29600,30184,0,conflictWith,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
29600,30184,299,conflictWith,,parent_pool,unknown,unknown,0.009905910416114497,test,checked_out_bounded
68446,68462,9,distinct,,parent_pool,satisfied,satisfied,0.00013145978791154217,test,checked_out_bounded
68446,68462,0,distinct,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
68446,68462,0,distinct,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
68446,68462,39604,distinct,0.5786167197498758,parent_pool,satisfied,violated,0.5784814933831907,test,checked_out_bounded
68446,68462,28842,distinct,0.42138328025012417,parent_pool,violated,violated,0.4212848003271888,test,checked_out_bounded
68446,68462,0,distinct,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
68446,68462,7,distinct,,parent_pool,satisfied,unknown,0.00010224650170897724,test,checked_out_bounded
68446,68462,0,distinct,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
68446,68462,0,distinct,,parent_pool,unknown,unknown,0.0,test,checked_out_bounded
21043,21109,66,inverse,,parent_pool,satisfied,satisfied,0.003126628452318916,test,checked_out_bounded
21043,21109,0,inverse,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
21043,21109,0,inverse,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
21043,21109,2242,inverse,0.10654374376277147,parent_pool,satisfied,violated,0.10621062106210621,test,checked_out_bounded
21043,21109,18801,inverse,0.8934562562372286,parent_pool,violated,violated,0.8906627504855749,test,checked_out_bounded
21043,21109,0,inverse,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
21043,21109,0,inverse,,parent_pool,satisfied,unknown,0.0,test,checked_out_bounded
21043,21109,0,inverse,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
21043,21109,0,inverse,,parent_pool,unknown,unknown,0.0,test,checked_out_bounded
2570,29999,5245,itemRequiresStatement,,parent_pool,satisfied,satisfied,0.17483916130537686,test,checked_out_bounded
2570,29999,0,itemRequiresStatement,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
2570,29999,0,itemRequiresStatement,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
2570,29999,2533,itemRequiresStatement,0.985603112840467,parent_pool,satisfied,violated,0.08443614787159572,test,checked_out_bounded
2570,29999,37,itemRequiresStatement,0.014396887159533073,parent_pool,violated,violated,0.0012333744458148605,test,checked_out_bounded
2570,29999,0,itemRequiresStatement,0.0,parent_pool,unknown,violated,0.0,test,checked_out_bounded
2570,29999,377,itemRequiresStatement,,parent_pool,satisfied,unknown,0.012567085569518984,test,checked_out_bounded
2570,29999,0,itemRequiresStatement,,parent_pool,violated,unknown,0.0,test,checked_out_bounded
2570,29999,21807,itemRequiresStatement,,parent_pool,unknown,unknown,0.7269242308076936,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,satisfied,satisfied,0.0,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,violated,satisfied,0.0,test,checked_out_bounded
2056,2056,0,oneOf,,parent_pool,unknown,satisfied,0.0,test,checked_out_bounded
2056,2056,2056,oneOf,1.0,parent_pool,satisfied,violated,1.0,test,checked_out_bounded
2056,2056,0,oneOf,0.0,parent_pool,violated,violated,0.0,test,checked_out_bounded
