addition_only,base_preserved,base_removed,deletion_only,distinct_definitions,distinct_semantic_terms_max,distinct_semantic_terms_mean,distinct_semantic_terms_median,distinct_semantic_terms_p95,distinct_semantic_terms_sum,edges_max,edges_mean,edges_median,edges_p95,edges_sum,family,input_profile,loss_from_R,nodes_max,nodes_mean,nodes_median,nodes_p95,nodes_sum,noop,paired,population,pre_triples_max,pre_triples_mean,pre_triples_median,pre_triples_p95,pre_triples_sum,primary_post_satisfied,primary_post_unknown,primary_post_violated,primary_pre_satisfied,primary_pre_unknown,primary_pre_violated,records,retention_from_R,same_subject_property_replacement,split,subset,unknown_feature_nodes_max,unknown_feature_nodes_mean,unknown_feature_nodes_median,unknown_feature_nodes_p95,unknown_feature_nodes_sum,unresolved_operations,validator_profile,vocabulary_profile
1026,1026,10,9,34,461,41.80694980694981,29.0,107.0,43312,870,58.13513513513514,38.0,154.0,60228,itemRequiresStatement,passive,13962,868,57.90830115830116,39.0,153.0,59993,0,1,existing_sample,434,27.998069498069498,18.0,76.0,29006,1036,0,0,0,0,1036,1036,0.06907587678357115,0,val,F_and_B,421,20.333976833976834,10.0,63.0,21066,1,checked_out_bounded,clean_parent_train_minocc100
0,0,1020,294,38,334,74.18137254901961,68.0,135.0,75665,550,104.70588235294117,95.0,200.0,106800,oneOf,passive,9,525,104.09019607843138,94.0,201.0,106172,0,726,existing_sample,245,29.021568627450982,24.0,70.0,29602,1020,0,0,0,0,1020,1020,0.9912536443148688,672,val,F_and_B,113,13.885294117647058,9.0,45.0,14163,45,checked_out_bounded,clean_parent_train_minocc100
0,5488,4580,9917,494,758,50.80691299165674,37.0,141.0,511524,1228,70.89888756456098,50.0,214.0,713810,single,passive,7890,1197,68.20629717918156,47.0,209.0,686701,0,151,existing_sample,613,30.653754469606675,22.0,79.0,308622,10068,0,0,0,0,10068,10068,0.5606414968259271,0,val,F_and_B,277,16.040921732220898,11.0,48.0,161500,113,checked_out_bounded,clean_parent_train_minocc100
4282,4282,148,124,24,600,41.730248306997744,39.0,84.0,184865,1072,67.00812641083522,62.0,150.0,296846,symmetric,passive,51,1015,62.672009029345375,58.0,136.0,277637,0,24,existing_sample,535,33.49751693002257,31.0,75.0,148394,4430,0,0,0,0,4430,4430,0.9886186119169829,14,val,F_and_B,254,21.10880361173815,19.0,47.0,93512,8,checked_out_bounded,clean_parent_train_minocc100
75,75,61,54,29,322,59.955882352941174,37.5,197.0,8154,410,78.38235294117646,49.0,298.0,10660,type,passive,14865,406,77.77941176470588,50.0,290.0,10578,0,7,existing_sample,199,32.4264705882353,13.0,139.0,4410,136,0,0,0,0,136,136,0.009066062262515832,0,val,F_and_B,153,16.779411764705884,6.0,69.0,2282,7,checked_out_bounded,clean_parent_train_minocc100
1064,1064,335,297,9,180,33.53180843459614,25.0,79.0,46911,268,43.20514653323803,30.0,102.0,60444,valueRequiresStatement,passive,13600,267,43.471050750536094,31.0,103.0,60816,0,38,existing_sample,133,19.967834167262332,14.0,50.0,27935,1399,0,0,0,0,1399,1399,0.0932728848589906,28,val,F_and_B,121,7.966404574696211,6.0,19.0,11145,6,checked_out_bounded,clean_parent_train_minocc100
250,250,19,12,26,369,68.58736059479554,45.0,198.0,18450,640,89.88104089219331,54.0,290.0,24178,valueType,passive,14731,637,89.57992565055763,54.0,287.0,24097,0,7,existing_sample,318,41.42379182156134,23.0,143.0,11143,269,0,0,0,0,269,269,0.017933333333333332,0,val,F_and_B,169,10.988847583643123,7.0,36.0,2956,5,checked_out_bounded,clean_parent_train_minocc100
778,1100,229,321,70,2116,35.668171557562076,25.0,70.0,47403,4218,51.67945823927765,34.0,100.0,68682,overall,passive,954076,4216,50.79533483822423,33.0,98.0,67507,0,230,existing_sample,328,20.130925507900677,15.0,46.0,26754,1329,0,0,0,0,1329,1329,0.0013910331220791184,227,overall,F_and_B_minus_A,181,13.885628291948834,9.0,36.0,18454,1,checked_out_bounded,clean_parent_train_minocc100
109,153,31,44,31,186,32.16847826086956,24.0,78.0,5919,274,45.130434782608695,32.0,124.0,8304,overall,passive,143132,266,44.31521739130435,33.0,125.0,8154,0,31,existing_sample,136,19.043478260869566,14.0,47.0,3504,184,0,0,0,0,184,184,0.0012838761896787519,30,test,F_and_B_minus_A,84,13.059782608695652,9.0,40.0,2403,0,checked_out_bounded,clean_parent_train_minocc100
566,792,150,225,50,2116,36.52123142250531,25.0,69.0,34403,4218,53.49044585987261,34.0,98.0,50388,overall,passive,667837,4216,52.5796178343949,33.0,97.0,49530,0,151,existing_sample,185,20.13163481953291,14.0,47.0,18964,942,0,0,0,0,942,942,0.0014085370503559471,150,train,F_and_B_minus_A,181,14.139065817409767,9.0,35.0,13319,1,checked_out_bounded,clean_parent_train_minocc100
