schema_version,validator_semantics_version,hierarchy_content_sha256,stratum,constraint_type,support,pfr_numerator,pfr_denominator,pfr_value,local_satisfaction_numerator,local_satisfaction_denominator,local_satisfaction_value,delta_local_satisfaction_numerator,delta_local_satisfaction_denominator,delta_local_satisfaction_value,sir_numerator,sir_denominator,sir_value,srr_numerator,srr_denominator,srr_value,disruption_numerator,disruption_denominator,disruption_value,base_deletion_rate_numerator,base_deletion_rate_denominator,base_deletion_rate_value,deletes_base_action_rate_numerator,deletes_base_action_rate_denominator,deletes_base_action_rate_value,eppf_numerator,eppf_denominator,eppf_value,vacuous_improvement_numerator,vacuous_improvement_denominator,vacuous_improvement_value
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,historical_nonfix,valueType,97,10,97,0.10309278350515463,4463,5250,0.8500952380952381,-14,5135,-0.002726387536514119,60,691,0.08683068017366136,84,4363,0.01925280770112308,92,97,0.9484536082474226,22,97,0.2268041237113402,22,97,0.2268041237113402,9,97,0.09278350515463918,1,97,0.010309278350515464
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,conflictWith,194,0,0,0.0,3573,3926,0.9100866021395823,-2,3924,-0.0005096839959225281,2,349,0.0057306590257879654,4,3384,0.001182033096926714,184,194,0.9484536082474226,165,194,0.8505154639175257,165,194,0.8505154639175257,0,0,0.0,1,194,0.005154639175257732
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,distinct,1609,0,0,0.0,37738,41606,0.9070326395231457,-617,41603,-0.014830661250390597,3,3250,0.0009230769230769231,620,36746,0.01687258477113155,1605,1609,0.997513983840895,1594,1609,0.9906774394033562,1595,1609,0.9912989434431324,0,0,0.0,3,1609,0.0018645121193287756
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,inverse,7135,3,233,0.012875536480686695,229462,248873,0.9220043958163401,-81,248865,-0.0003254776686155144,8,19209,0.0004164714456765058,92,222890,0.0004127596572300238,7031,7135,0.9854239663629993,115,7135,0.0161177295024527,117,7135,0.016398037841625787,2,233,0.008583690987124463,1,7135,0.0001401541695865452
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,itemRequiresStatement,2928,0,0,0.0,151840,161327,0.9411939724906556,-2220,160833,-0.013803137415828842,221,6956,0.03177113283496262,2441,150950,0.016170917522358396,2840,2928,0.9699453551912568,46,2928,0.015710382513661202,46,2928,0.015710382513661202,0,0,0.0,0,2928,0.0
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,oneOf,799,0,0,0.0,50322,53638,0.9381781572765576,-602,53630,-0.011225060600410218,6,2706,0.0022172949002217295,608,50924,0.011939360615819654,801,799,1.002503128911139,796,799,0.9962453066332916,797,799,0.9974968710888611,0,0,0.0,2,799,0.0025031289111389237
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,single,14185,0,0,0.0,757259,806621,0.9388039736133822,-4556,806563,-0.005648659807107442,177,44793,0.0039515102806242045,4730,751918,0.006290579557877322,14216,14185,1.0021854071201974,14111,14185,0.9947832217130772,14138,14185,0.9966866408177653,0,0,0.0,140,14185,0.00986958054282693
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,type,6323,25,198,0.12626262626262627,293107,318233,0.921045271860555,-4454,314903,-0.014144038005354029,1383,20629,0.0670415434582384,5862,291546,0.020106604103640593,6259,6323,0.9898782223628024,212,6323,0.03352838842321683,212,6323,0.03352838842321683,23,198,0.11616161616161616,5,6323,0.0007907638779060573
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,valueRequiresStatement,8648,64,354,0.1807909604519774,473908,493854,0.9596115451125231,4198,493292,0.008510172473909975,5247,23746,0.22096353069990735,1101,463770,0.0023740216055372276,8525,8648,0.9857770582793709,9,8648,0.0010407030527289547,9,8648,0.0010407030527289547,63,354,0.17796610169491525,1,8648,0.00011563367252543941
3,2,b388d49c9711896db1cde320c19afa1f6fe03b49fde014e1b0e993aa0990fd8c,uncheckable,valueType,9416,31,688,0.04505813953488372,979551,1043579,0.9386457565742508,-9176,1040491,-0.008818913378395393,7507,54137,0.13866671592441399,16714,979160,0.01706973324073696,9347,9416,0.9926720475785896,76,9416,0.008071367884451997,76,9416,0.008071367884451997,24,688,0.03488372093023256,3,9416,0.000318606627017842
