A,A_over_R,F,F_and_A,F_and_A_over_F,F_not_A,R,family,population,source_records,split,vocabulary
133493,0.9535146177527304,89913,89740,0.9980759178316817,173,140001,type,parent_pool,140001,train,V0_clean_parent_train_minocc100
116604,0.8328857142857143,63808,49599,0.7773163239719157,14209,140000,valueRequiresStatement,parent_pool,140000,train,V0_clean_parent_train_minocc100
134503,0.9607288519367719,52533,52481,0.9990101460034645,52,140001,valueType,parent_pool,140001,train,V0_clean_parent_train_minocc100
28375,0.9400675854757488,23013,22900,0.9950897318906705,113,30184,conflictWith,parent_pool,30184,val,V0_clean_parent_train_minocc100
66473,0.9709615693606579,68153,66169,0.970889029096298,1984,68461,distinct,parent_pool,68461,val,V0_clean_parent_train_minocc100
20567,0.97868189388532,18691,18689,0.9998929966293938,2,21015,inverse,parent_pool,21015,val,V0_clean_parent_train_minocc100
16418,0.5472666666666667,25004,14743,0.5896256598944168,10261,30000,itemRequiresStatement,parent_pool,30000,val,V0_clean_parent_train_minocc100
2025,0.9844433641225085,448,432,0.9642857142857143,16,2057,oneOf,parent_pool,2057,val,V0_clean_parent_train_minocc100
256417,0.894626664666334,198677,183221,0.9222053886458926,15456,286619,overall,parent_pool,286619,val,V0_clean_parent_train_minocc100
31291,0.8712030514798007,15924,15916,0.9994976136649083,8,35917,single,parent_pool,35917,val,V0_clean_parent_train_minocc100
8853,0.9853088480801335,3078,3078,1.0,0,8985,symmetric,parent_pool,8985,val,V0_clean_parent_train_minocc100
28653,0.9551,19260,19218,0.9978193146417446,42,30000,type,parent_pool,30000,val,V0_clean_parent_train_minocc100
24961,0.8320333333333333,13763,10747,0.7808617307273124,3016,30000,valueRequiresStatement,parent_pool,30000,val,V0_clean_parent_train_minocc100
28801,0.9600333333333333,11343,11329,0.9987657586176496,14,30000,valueType,parent_pool,30000,val,V0_clean_parent_train_minocc100
94672,0.9409519644578732,76892,76554,0.995604224106539,338,100613,conflictWith,previously_discarded,100613,overall,V0_clean_parent_train_minocc100
221592,0.9710386895762946,227191,220595,0.9709671597906607,6596,228201,distinct,previously_discarded,228201,overall,V0_clean_parent_train_minocc100
68495,0.9786677716179917,62229,62228,0.9999839303218756,1,69988,inverse,previously_discarded,69988,overall,V0_clean_parent_train_minocc100
54900,0.5489945100548994,83141,49197,0.5917297121757015,33944,100001,itemRequiresStatement,previously_discarded,100001,overall,V0_clean_parent_train_minocc100
6782,0.9894951852932594,1452,1431,0.9855371900826446,21,6854,oneOf,previously_discarded,6854,overall,V0_clean_parent_train_minocc100
855185,0.8951170674981604,661534,610361,0.9226449434193859,51173,955389,overall,previously_discarded,955389,overall,V0_clean_parent_train_minocc100
104448,0.8724138219055654,52668,52657,0.9997911445279867,11,119723,single,previously_discarded,119723,overall,V0_clean_parent_train_minocc100
29549,0.9846384538487171,10393,10393,1.0,0,30010,symmetric,previously_discarded,30010,overall,V0_clean_parent_train_minocc100
95313,0.9531395313953139,64247,64104,0.99777421513845,143,99999,type,previously_discarded,99999,overall,V0_clean_parent_train_minocc100
83396,0.8339683396833968,45774,35691,0.7797221129899069,10083,99999,valueRequiresStatement,previously_discarded,99999,overall,V0_clean_parent_train_minocc100
96038,0.960370396296037,37547,37511,0.999041201693877,36,100001,valueType,previously_discarded,100001,overall,V0_clean_parent_train_minocc100
14244,0.9438738320853489,11644,11597,0.9959635863964273,47,15091,conflictWith,previously_discarded,15091,test,V0_clean_parent_train_minocc100
