bucket,cohort,denominator,denominator_kind,metric,section,share,slot,split,value
5-9,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.10631040363843093,all_legal_slots,train,374
10-49,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.13871517907902217,all_legal_slots,train,488
50-99,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.03467879476975554,all_legal_slots,train,122
>=100,F_and_A_V1_train,3518,,class_count,unique_concrete_class_support,0.0778851620238772,all_legal_slots,train,274
nonzero_classes,F_and_A_V1_train,3468,,min,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,1
nonzero_classes,F_and_A_V1_train,3468,,p10,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,1
nonzero_classes,F_and_A_V1_train,3468,,p25,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,1
nonzero_classes,F_and_A_V1_train,3468,,median,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,2
nonzero_classes,F_and_A_V1_train,3468,,p75,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,10
nonzero_classes,F_and_A_V1_train,3468,,p90,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,64
nonzero_classes,F_and_A_V1_train,3468,,p95,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,212
nonzero_classes,F_and_A_V1_train,3468,,max,unique_concrete_class_nonzero_support_statistics,,all_legal_slots,train,157809
>=100,F,378298,,subject,heldout_role_reference_support_detail,,del_subject,test,81817
>=100,F_and_A_V1,378298,,subject,heldout_role_reference_support_detail,,del_subject,test,81148
>=100,F,61167,,other_predicate,heldout_role_reference_support_detail,,del_predicate,test,13365
>=100,F_and_A_V1,61167,,other_predicate,heldout_role_reference_support_detail,,del_predicate,test,13257
>=100,F,101126,,other_object,heldout_role_reference_support_detail,,del_object,test,21896
>=100,F_and_A_V1,101126,,other_object,heldout_role_reference_support_detail,,del_object,test,21783
>=100,F,184845,,subject,heldout_role_reference_support_detail,,add_subject,test,50526
>=100,F_and_A_V1,184845,,subject,heldout_role_reference_support_detail,,add_subject,test,39450
>=100,F,14636,,object,heldout_role_reference_support_detail,,add_object,test,3218
>=100,F_and_A_V1,14636,,object,heldout_role_reference_support_detail,,add_object,test,3191
>=100,F,443749,,predicate,heldout_role_reference_support_detail,,del_predicate,test,97122
>=100,F_and_A_V1,443749,,predicate,heldout_role_reference_support_detail,,del_predicate,test,95079
>=100,F,403567,,object,heldout_role_reference_support_detail,,del_object,test,88534
>=100,F_and_A_V1,403567,,object,heldout_role_reference_support_detail,,del_object,test,86496
